,year,density,clustering,gender_assort,degree_assort,male_bridges,female_bridges,male,female,bridges,nodes,network_pct
0,2008,0.01874678993323061,0.968,0.04833295310106577,0.9999999999999979,0,0,94,76,0.0,177,0.8085106382978723
1,2009,0.00960617153526767,0.966,0.08336163712277622,0.7677214891341327,4,2,239,148,0.01485148514851485,404,0.6192468619246861
2,2010,0.006922489275430452,0.89,0.1712197563538755,0.5321699440280019,36,18,403,281,0.07552447552447553,715,0.6972704714640199
3,2011,0.00776561815076258,0.932,0.16180141967401337,0.7978835291374213,38,19,409,287,0.0782967032967033,728,0.7017114914425427
4,2012,0.0058777572522762615,0.93,0.15431324626157378,0.7409231570520783,59,33,512,358,0.10143329658213891,907,0.69921875
5,2013,0.004864036767522022,0.906,0.13382062118107904,0.6094129115233905,63,41,640,432,0.09285714285714286,1120,0.675
6,2014,0.004815258296270954,0.917,0.12597967895969056,0.5202867480263713,63,40,674,464,0.08691983122362869,1185,0.6884272997032641
7,2015,0.004880205879154735,0.89,0.13579481146457847,0.49929868711881337,57,38,655,478,0.08085106382978724,1175,0.7297709923664122
8,2016,0.004206398020649844,0.869,0.07095349790664254,0.2598920743089275,61,43,659,493,0.08681135225375626,1198,0.7481031866464339
9,2017,0.0045270165166303045,0.876,0.0506627163010708,0.1883991618074779,46,42,672,508,0.07171964140179299,1227,0.7559523809523809
10,2018,0.005002321837449967,0.873,0.029296437818961546,0.14592010178992904,34,37,653,504,0.0580539656582175,1223,0.7718223583460949
11,2019,0.005103111467216086,0.846,0.016605509896187635,0.154231262775182,34,32,612,521,0.054455445544554455,1212,0.8513071895424836
12,2020,0.005714181159486583,0.873,0.009815103082747056,0.17759410479313392,32,33,523,451,0.0621414913957935,1046,0.8623326959847036
13,2021,0.005526275735066595,0.867,-0.017570041169579106,0.17511041927627496,39,36,534,481,0.06855575868372943,1094,0.900749063670412
14,2022,0.005676154160424895,0.9,-0.016855257396835216,0.1621055948366588,38,36,506,465,0.07047619047619047,1050,0.9189723320158103
15,2023,0.005545296849644676,0.878,-0.020119436401716654,0.16451694571675643,38,37,484,474,0.07239382239382239,1036,0.9793388429752066
